Event,Script,Episode,Action,Rules it predates,Anchor,Why this anchor,Words,Est min,Rendered min,Drift,Gate,Shape,Voices,Cold open (what it refuses),Chapters,Listen,Page,Slug
The Sykes-Picot Agreement,written,queued,render,inst-voice,bm_george,critical empire: mid weight,1859,13.92,,,clean,"6 scenes, 7 rests, 6 docs, 5 accounts",M+N,"You know the story. Two men, a map, a ruler, the modern Middle East drawn in an afternoon. Here is what the record says instead. That line was never implemented. Mosul,...",,,https://news.voidvision.org/history/sykes-picot-agreement/,sykes-picot-agreement
The 2008 Global Financial Crisis,NOT WRITTEN,,write script,,am_michael,"catastrophic economic: dark, but not funereal",,,,,,,,,,,https://news.voidvision.org/history/global-financial-crisis-2008/,global-financial-crisis-2008
The Algerian War of Independence,NOT WRITTEN,,write script,,bm_lewis,catastrophic independence: the gravest voice,,,,,,,,,,,https://news.voidvision.org/history/algerian-war/,algerian-war
The Assassination of Julius Caesar,NOT WRITTEN,,write script,,bm_george,critical political: mid weight,,,,,,,,,,,https://news.voidvision.org/history/assassination-of-caesar/,assassination-of-caesar
The Bandung Conference,NOT WRITTEN,,write script,,bm_george,major political: mid weight,,,,,,,,,,,https://news.voidvision.org/history/bandung-conference/,bandung-conference
The Bolivarian Revolutions,NOT WRITTEN,,write script,,bm_george,major revolution: mid weight,,,,,,,,,,,https://news.voidvision.org/history/bolivarian-revolutions/,bolivarian-revolutions
The Chinese Civil War and the Founding of the People's Republic,NOT WRITTEN,,write script,,am_michael,"catastrophic revolution: dark, but not funereal",,,,,,,,,,,https://news.voidvision.org/history/chinese-civil-war/,chinese-civil-war
The Congo Wars,NOT WRITTEN,,write script,,bm_lewis,catastrophic war: the gravest voice,,,,,,,,,,,https://news.voidvision.org/history/congo-wars/,congo-wars
The Conquests of Alexander,NOT WRITTEN,,write script,,am_michael,"catastrophic empire: dark, but not funereal",,,,,,,,,,,https://news.voidvision.org/history/alexanders-conquests/,alexanders-conquests
The Cyrus Cylinder,NOT WRITTEN,,write script,,bm_george,major political: mid weight,,,,,,,,,,,https://news.voidvision.org/history/cyrus-cylinder/,cyrus-cylinder
The Iran-Iraq War,NOT WRITTEN,,write script,,bm_lewis,catastrophic war: the gravest voice,,,,,,,,,,,https://news.voidvision.org/history/iran-iraq-war/,iran-iraq-war
The Khmer Empire,NOT WRITTEN,,write script,,bm_george,major empire: mid weight,,,,,,,,,,,https://news.voidvision.org/history/angkor-khmer-empire/,angkor-khmer-empire
The Kingdom of Kongo,NOT WRITTEN,,write script,,bm_george,major political: mid weight,,,,,,,,,,,https://news.voidvision.org/history/kingdom-of-kongo/,kingdom-of-kongo
The Mughal Empire,NOT WRITTEN,,write script,,bm_george,major political: mid weight,,,,,,,,,,,https://news.voidvision.org/history/mughal-empire/,mughal-empire
The Suez Crisis,NOT WRITTEN,,write script,,am_michael,critical war,,,,,,,,,,,https://news.voidvision.org/history/suez-crisis/,suez-crisis
The Taiping Rebellion,NOT WRITTEN,,write script,,am_michael,"catastrophic political: dark, but not funereal",,,,,,,,,,,https://news.voidvision.org/history/taiping-rebellion/,taiping-rebellion
The Treaty of Waitangi and the New Zealand Wars,NOT WRITTEN,,write script,,bm_george,major empire: mid weight,,,,,,,,,,,https://news.voidvision.org/history/treaty-of-waitangi/,treaty-of-waitangi
